Year Mnth Day Hr dewpoint_temperature_2m temperature_2m skin_temperature soil_temperature_level_1 soil_temperature_level_2 soil_temperature_level_3 soil_temperature_level_4 lake_bottom_temperature lake_ice_depth lake_ice_temperature lake_mix_layer_depth lake_shape_factor lake_total_layer_temperature snow_albedo snow_cover snow_density snow_depth snow_depth_water_equivalent temperature_of_snow_layer skin_reservoir_content volumetric_soil_water_layer_1 volumetric_soil_water_layer_2 volumetric_soil_water_layer_3 volumetric_soil_water_layer_4 forecast_albedo u_component_of_wind_10m v_component_of_wind_10m surface_pressure leaf_area_index_high_vegetation leaf_area_index_low_vegetation snowfall snowmelt surface_latent_heat_flux surface_net_solar_radiation surface_net_thermal_radiation surface_sensible_heat_flux surface_solar_radiation_downwards surface_thermal_radiation_downwards evaporation_from_bare_soil evaporation_from_open_water_surfaces_excluding_oceans evaporation_from_the_top_of_canopy evaporation_from_vegetation_transpiration potential_evaporation runoff snow_evaporation sub_surface_runoff surface_runoff total_evaporation total_precipitation
2018 9 30 12 276.29398559775893 277.2477091840046 279.0045752317646 281.44016603466 282.8202970063867 284.0055605650708 284.51595786641906 278.3402342896589 -273.15 0.0003295898437727 6.494426767936701 -272.35001964050946 7.718739638739287 0.7553299774132336 6.716713254045942 140.8497400331053 0.0072418020508892 0.0011879971405541 273.1256337005273 0.0002848620360295 0.4249871383351973 0.421664687822234 0.4072187840666106 0.402816177821309 0.1492352885425623 -1.1091187902819073 0.3461792910445566 68307.29998972699 2.857177313961646 1.4211255083035377 0.0043927693075245 0.0004897196691937 -3753470.314170474 5717449.111424456 -1586311.1249619066 -1975005.549950702 6731124.589114452 28147532.312933568 -8.971354907197078e-05 -4.996506044332447e-05 -0.0013591371217546 -9.663779252803351e-07 -0.0016253369621364 0.0034470920893649 -9.929031224471745e-07 0.0014687098968068 0.0019783824037146 -0.0015007752021131 0.0133200645032327
2018 10 1 12 272.7620773031871 274.4921118132422 276.06479529899093 280.03570402556306 281.26861785020645 283.7290702812527 284.50189443511147 278.34170780681626 -273.15 -0.0001218159993262 6.833557555246045 -272.3501682108863 7.577008474045183 0.7817689255676401 39.69163554568458 149.59475554676834 0.039894531483411 0.0059981703355782 272.64848891270736 0.0001756644811289 0.4189162886839727 0.4196626417773135 0.4102033257530735 0.4032387445143305 0.360948481753011 -0.8248780117097303 0.3866706078695949 68395.87902002326 2.855243156524052 1.4053047392844211 0.0035047996862674 0.0020093085467174 -2776906.616258849 6663255.363086916 -2505377.5426548333 -1972920.9393923087 10898429.00767679 25940183.320426617 -0.0003194584019473 -0.0001009572916379 -0.0006077841628952 -1.2834931116831968e-06 -0.0015403256227628 0.0023883865747366 -7.139642179820994e-05 0.0015021527830958 0.0008862338697727 -0.0011008803845299 0.0055417877047562
2018 10 2 12 272.3387911031686 273.8038299262626 275.1517062213261 279.42271659484976 280.6005838982421 283.3631302752093 284.4809268362988 278.34501958741447 -273.15 0.000288899739606 6.878373409858301 -272.3501251247006 7.435723327890205 0.7666024502927612 48.40896857745089 150.43177386813227 0.0496492153421991 0.0075230550639199 272.57643554525407 0.0001401793729572 0.4165670066036385 0.4165847007083828 0.4110323647887755 0.4036922165919472 0.4130084064695203 -0.9911294716152648 0.3104748699250572 68283.10514827083 2.8533077277258485 1.3894944677432388 0.0048694071666032 0.0019942780126724 -2208236.3081473503 5486730.356714874 -2113540.1492336635 -1685514.4993098492 10251331.795885986 25953526.94019896 -0.0002322554269613 -7.674600037516489e-05 -0.0004471781738222 -1.24615947237213e-06 -0.0012261959323535 0.0024374182686707 -0.0001108019551 0.001528001453454 0.0009094170374586 -0.0008682267556892 0.0070974734714516
2018 10 3 12 272.2064381285008 274.16189598252606 275.048767206002 279.4420054561181 280.30842564688714 282.9956265100917 284.45246022787336 278.3475006195601 -273.15 -5.223052357155636e-05 6.6020845711411065 -272.350181796336 7.304718864604831 0.7539952918724635 53.61570295636046 151.0689180447143 0.0573785385984789 0.0086652152001428 272.0902210112618 0.0001149111955174 0.4166009142031919 0.4165373468109847 0.4115669058562424 0.4041038993909983 0.4420461889093205 -0.5584006974155111 0.2239555063133994 68326.77041327223 2.8513758285397985 1.373680870915715 0.0017693588655233 0.0029198752423188 -2150535.1978488835 6293456.125661122 -2656000.074769201 -1526628.2037106738 12297609.310503485 25398445.162014883 -0.0003103236808549 -8.66828048667691e-05 -0.000349313729144 -1.119059709448257e-06 -0.001269641730751 0.0024611502405006 -9.92590199189007e-05 0.0015565273211647 0.0009046234101647 -0.0008466941055 0.0030625584114735
2018 10 4 12 272.94126336478183 275.2411954876512 276.29751086754595 279.902751505214 280.3085131195903 282.6709817676246 284.417142155842 278.3504759750188 -273.15 6.612141949820701e-06 6.048191875026834 -272.3500847990675 7.200924151515966 0.72298921095645 37.90218013909193 152.1095503679848 0.0388335208790818 0.0058878456323547 270.89716858788154 6.65354017853997e-05 0.4147819015408561 0.4155716862920284 0.4118843351457985 0.4044890844213968 0.3344776723857915 -0.298969072941003 0.376045018971787 68311.91328129952 2.849431613184616 1.3578600280438946 0.0001191198617818 0.0033706981203585 -3123747.984440261 10602808.154291485 -3984606.58870664 -2555636.3083266094 16278019.909820156 24497952.53657792 -0.0008175788331482 -0.0002118978231004 -0.0001737982085519 -9.881980026682887e-07 -0.0020647770313578 0.0023360058310009 -3.956764154042687e-05 0.0015808799918689 0.0007551239445996 -0.0012438196707588 0.0007774959734231
2018 10 5 12 274.4797093098429 276.11095878499856 277.8091818548032 280.12947057949816 280.6927184071497 282.462608313366 284.37686640874 278.3524453282842 -273.15 -3.72568766048668e-05 6.219807005417228 -272.35013335088314 7.14123024059075 0.6978221568712674 24.81796396507424 151.80391255255316 0.0249082293545625 0.003795554098616 272.5778374301788 0.0001381265145588 0.4140134066207074 0.4144136363699023 0.4119709913091885 0.4048373476020289 0.2508079844593863 -0.5783123741663904 0.5280324167632701 68207.67961108116 2.8474911799084213 1.3420463056667746 0.0009871574518909 0.0020205861511271 -2636070.19826118 7620817.646766182 -2762571.38137492 -2123894.0599085763 10686002.754218102 26384351.722559813 -0.000478221102013 -0.0001365505712085 -0.0004178024118986 -7.630995317573688e-07 -0.001599317095373 0.0022290226356887 -1.830995535953632e-05 0.0015932014511351 0.0006358238311558 -0.0010516474306773 0.0028786752779545
2018 10 6 12 274.3004892097652 275.8289417409307 277.50676355165035 279.85776845058933 280.5330650593999 282.2978754901261 284.33371631546754 278.3547924481558 -273.15 0.00010625593003 6.632429705939468 -272.35007826916114 7.069141566667568 0.6924642650840535 25.41745403787046 151.4980131067175 0.0256456447664115 0.0039205554053701 272.82563210778227 0.0001947433539969 0.4151871000269797 0.4142175960560714 0.4120055533599421 0.4051717305545976 0.2572317327012705 -0.8114657606472654 0.5568621891848635 68185.81164728533 2.845555994550609 1.326231831086197 0.0033541781808608 0.0018227660107949 -3089539.326844132 7465664.558034681 -2368037.517881149 -2077609.2655014768 10414974.058622384 26664570.399032 -0.0003642158485892 -0.000105658046196 -0.0007234205691928 -7.883274383983846e-07 -0.0016931017625873 0.0023721779534452 -3.647237776640821e-05 0.0015998563404428 0.0007723219766832 -0.001230553657543 0.0062048892124033
2018 10 7 12 274.0247590588493 275.09753200299286 276.20431967207577 279.3968262357894 280.2374739890548 282.1314670646282 284.2879797829804 278.3568006340841 -273.15 3.267923993159153e-05 7.030055506014063 -272.3502153438181 6.998202086029243 0.7105370070241139 39.40280139313696 150.9213861094195 0.0399561607436288 0.006037832594321 272.8130960662272 0.0002189269958893 0.4187761423981063 0.4167505528864091 0.4123352787142845 0.4055062316259033 0.3519197062416405 -0.8069947229658728 0.5661874470236776 68144.27995977971 2.843617504968152 1.3104125355652727 0.0034272690415061 0.0020903309466606 -2407302.5519763366 5640445.228426375 -2013035.674195571 -1433784.2205610827 9799786.51419288 26498973.8222282 -0.0001574556348432 -4.78408125593044e-05 -0.0006905411307409 -7.7408762725331e-07 -0.0011735170520691 0.0026120908082231 -5.824497157022148e-05 0.0016057412751186 0.0010063510731716 -0.0009548409537523 0.0066860009294152
2018 10 8 12 273.139025102233 274.05072164629786 275.0903755444647 278.87660415881675 279.7741230759997 281.9345350994511 284.23936358908253 278.3597267788426 -273.15 5.04811605045082e-05 7.130292600544123 -272.3503675144982 6.912168360880518 0.7189933969796369 47.71886040049125 150.8221690574846 0.0511445418410247 0.0077774574522199 272.48420763881046 0.0002060302263448 0.4186656478927879 0.4179530265201556 0.4131484398290949 0.4058686599487549 0.4087191617948766 -0.8488065498103364 0.397577774730903 68007.59948471014 2.841694202236753 1.294603964003907 0.0065996261030913 0.0019853007436356 -2001481.019019449 5035792.453488209 -2003780.718436854 -1315017.8525410043 10255437.61937635 26061550.10024197 -0.0001393161033678 -4.145198211907282e-05 -0.0005238298841934 -8.782677978819451e-07 -0.0009821538454723 0.0026526338285663 -8.372127392462077e-05 0.0016183301308275 0.0010343040656934 -0.0007891645918313 0.0095724704291329
2018 10 9 12 269.2017574844822 272.07056637940303 272.3162728981513 278.705121230737 279.50441699750434 281.7187931571375 284.1872655480403 278.36165590262584 -273.15 1.3867349451627325e-05 7.067753607775664 -272.3508111587355 6.811829957218111 0.7673691778425032 71.80081518212594 149.14340758650042 0.0961156614588 0.0144754904933663 271.0800690617232 0.0001568012896919 0.4142747002654305 0.4168753402375796 0.4139348965814338 0.406260861498821 0.5796132254071596 -0.5975789521821866 -0.071659857751449 68321.32053944256 2.8397597291472336 1.2787954403100343 0.0059093409306961 0.00114533888029 -2009984.698037105 5414646.960178663 -3201236.940521644 -1229509.100654297 14163992.699582238 23878312.456162024 -0.0002652624201944 -7.651167466536665e-05 -0.0001983592916102 -1.1776837317375354e-06 -0.0012545557865438 0.0021859968657923 -0.0002315640595103 0.0016406720022184 0.0005453243567181 -0.000772837409879 0.0067728151928423
